fecha,ticket,banca,monto,premio,estado,jugadas
02/02/2026 12:47 PM,LAN-010-000061261,LAN-0010,$23.00,$0.00,Perdedor,
02/02/2026 12:39 PM,LAN-010-000061260,LAN-0010,$12.00,$0.00,Perdedor,
02/02/2026 12:39 PM,LAN-010-000061259,LAN-0010,$2.00,$0.00,Perdedor,
02/02/2026 12:39 PM,LAN-010-000061258,LAN-0010,$9.00,$0.00,Perdedor,
02/02/2026 12:38 PM,LAN-010-000061257,LAN-0010,$23.00,$0.00,Perdedor,
02/02/2026 12:36 PM,LAN-010-000061256,LAN-0010,$12.00,$0.00,Perdedor,
02/02/2026 12:17 PM,LAN-010-000061255,LAN-0010,$24.00,$0.00,Ganador,
02/02/2026 12:15 PM,LAN-010-000061254,LAN-0010,$16.00,$0.00,Pendiente,
02/02/2026 11:41 AM,LAN-010-000061253,LAN-0010,$4.00,$0.00,Perdedor,
02/02/2026 11:40 AM,LAN-010-000061252,LAN-0010,$8.00,$0.00,Perdedor,
02/02/2026 11:39 AM,LAN-010-000061251,LAN-0010,$1.00,$0.00,Perdedor,
02/02/2026 11:39 AM,LAN-010-000061250,LAN-0010,$4.00,$0.00,Perdedor,
02/02/2026 11:38 AM,LAN-010-000061249,LAN-0010,$6.00,$0.00,Pendiente,
02/02/2026 11:21 AM,LAN-010-000061248,LAN-0010,$5.00,$0.00,Perdedor,
02/02/2026 11:20 AM,LAN-010-000061247,LAN-0010,$30.00,$0.00,Perdedor,
02/02/2026 11:17 AM,LAN-010-000061246,LAN-0010,$5.00,$0.00,Perdedor,
02/02/2026 11:16 AM,LAN-010-000061245,LAN-0010,$5.00,$0.00,Perdedor,
02/02/2026 11:15 AM,LAN-010-000061244,LAN-0010,$5.00,$0.00,Perdedor,
02/02/2026 11:15 AM,LAN-010-000061243,LAN-0010,$7.00,$0.00,Perdedor,
02/02/2026 11:13 AM,LAN-010-000061242,LAN-0010,$8.00,$0.00,Perdedor,
02/02/2026 11:13 AM,LAN-010-000061241,LAN-0010,$20.00,$0.00,Perdedor,
02/02/2026 11:11 AM,LAN-010-000061240,LAN-0010,$8.00,$0.00,Perdedor,
02/02/2026 11:10 AM,LAN-010-000061239,LAN-0010,$12.00,$0.00,Perdedor,
02/02/2026 11:08 AM,LAN-010-000061238,LAN-0010,$40.00,$0.00,Pendiente,
02/02/2026 10:45 AM,LAN-010-000061237,LAN-0010,$26.00,$0.00,Perdedor,
02/02/2026 10:38 AM,LAN-010-000061236,LAN-0010,$20.00,$0.00,Perdedor,
02/02/2026 10:37 AM,LAN-010-000061235,LAN-0010,$3.00,$0.00,Perdedor,
02/02/2026 10:36 AM,LAN-010-000061234,LAN-0010,$7.00,$0.00,Perdedor,
02/02/2026 10:13 AM,LAN-010-000061233,LAN-0010,$7.00,$0.00,Ganador,
02/02/2026 10:07 AM,LAN-010-000061232,LAN-0010,$20.00,$0.00,Perdedor,
02/02/2026 10:02 AM,LAN-010-000061231,LAN-0010,$40.00,$0.00,Perdedor,
02/02/2026 09:45 AM,LAN-010-000061230,LAN-0010,$13.00,$0.00,Perdedor,
02/02/2026 09:42 AM,LAN-010-000061229,LAN-0010,$3.00,$0.00,Perdedor,
02/02/2026 09:36 AM,LAN-010-000061228,LAN-0010,$6.00,$0.00,Perdedor,
02/02/2026 09:35 AM,LAN-010-000061227,LAN-0010,$9.00,$0.00,Pendiente,
02/02/2026 09:24 AM,LAN-010-000061226,LAN-0010,$36.00,$0.00,Perdedor,
02/02/2026 08:44 AM,LAN-010-000061225,LAN-0010,$1.00,$0.00,Perdedor,
02/02/2026 08:41 AM,LAN-010-000061224,LAN-0010,$8.00,$0.00,Perdedor,
02/02/2026 08:34 AM,LAN-010-000061223,LAN-0010,$55.00,$0.00,Perdedor,
02/02/2026 08:27 AM,LAN-010-000061222,LAN-0010,$8.00,$0.00,Ganador,
02/02/2026 08:26 AM,LAN-010-000061221,LAN-0010,$10.00,$0.00,Perdedor,
02/02/2026 08:24 AM,LAN-010-000061220,LAN-0010,$2.00,$0.00,Perdedor,
02/02/2026 08:21 AM,LAN-010-000061219,LAN-0010,$1.00,$0.00,Perdedor,
02/02/2026 08:21 AM,LAN-010-000061218,LAN-0010,$5.00,$0.00,Perdedor,
02/02/2026 08:17 AM,LAN-010-000061217,LAN-0010,$15.00,$0.00,Perdedor,
